numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07558;20200320090000;102000;70;1;100;3.800000;285.150000;273.850000;46;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93740;mq;mq;-340;mq;mq;mq;mq;276.550000;mq;mq;7.000000;7.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20200320090000;102240;50;0;180;0.700000;285.250000;277.750000;60;17540;0;mq;mq;mq;mq;mq;mq;mq;mq;101340;mq;mq;-330;mq;mq;mq;mq;277.650000;mq;mq;2.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20200320090000;mq;-70;8;30;3.400000;287.150000;272.650000;37;19960;0;mq;mq;mq;mq;mq;mq;mq;mq;91970;mq;826;-420;mq;mq;mq;mq;277.550000;mq;mq;6.000000;8.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20200320090000;101690;60;1;80;2.700000;285.950000;280.850000;71;32700;0;mq;mq;mq;0;mq;mq;mq;mq;100980;mq;mq;-480;mq;mq;mq;mq;282.250000;mq;mq;3.900000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20200320090000;101570;40;0;120;0.600000;289.950000;281.650000;58;19960;0;mq;mq;mq;0;mq;mq;mq;mq;97340;mq;mq;-470;mq;mq;mq;mq;281.450000;mq;mq;1.500000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20200320090000;101690;80;1;140;1.200000;287.050000;279.850000;62;20000;0;mq;mq;mq;0;mq;mq;mq;mq;96830;mq;mq;-430;mq;mq;mq;mq;279.950000;mq;mq;2.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20200320090000;101860;90;1;130;8.000000;286.150000;280.150000;67;18660;0;mq;mq;mq;0;mq;mq;mq;mq;100060;mq;mq;-380;mq;mq;mq;mq;280.350000;mq;mq;12.400000;13.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07643;20200320090000;102220;50;1;20;1.600000;286.350000;280.550000;68;17130;0;mq;mq;mq;0;mq;mq;mq;mq;102120;mq;mq;-330;mq;mq;mq;mq;277.650000;mq;mq;2.900000;4.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20200320090000;102170;-10;8;30;3.300000;288.550000;278.150000;50;13520;0;mq;mq;mq;0;mq;mq;mq;mq;101790;mq;mq;-360;mq;mq;mq;mq;280.750000;mq;mq;8.200000;8.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20200320090000;mq;mq;mq;80;6.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;9.100000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
